Step,Loss,Learning Rate,Epoch,Global Step,eval_accuracy
41,1.889,2.05e-05,0.7008547008547008,41,N/A
42,1.0737,2.1e-05,0.717948717948718,42,N/A
43,0.4824,2.15e-05,0.7350427350427351,43,N/A
44,0.3708,2.2000000000000003e-05,0.7521367521367521,44,N/A
45,1.8228,2.25e-05,0.7692307692307693,45,N/A
46,1.1098,2.3000000000000003e-05,0.7863247863247863,46,N/A
47,0.1099,2.35e-05,0.8034188034188035,47,N/A
48,0.6957,2.4e-05,0.8205128205128205,48,N/A
49,0.2879,2.45e-05,0.8376068376068376,49,N/A
50,0.541,2.5e-05,0.8547008547008547,50,N/A
51,0.2894,2.5500000000000003e-05,0.8717948717948718,51,N/A
52,0.1782,2.6000000000000002e-05,0.8888888888888888,52,N/A
53,0.1738,2.6500000000000004e-05,0.905982905982906,53,N/A
54,0.1543,2.7000000000000002e-05,0.9230769230769231,54,N/A
55,1.2368,2.7500000000000004e-05,0.9401709401709402,55,N/A
56,3.5159,2.8000000000000003e-05,0.9572649572649573,56,N/A
57,0.0611,2.8499999999999998e-05,0.9743589743589743,57,N/A
58,0.5355,2.9e-05,0.9914529914529915,58,N/A
59,0.2095,2.95e-05,1.0,59,N/A
60,0.0406,3e-05,1.017094017094017,60,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716
61,0.0198,3.05e-05,1.0341880341880343,61,N/A
62,1.572,3.1e-05,1.0512820512820513,62,N/A
63,0.009,3.15e-05,1.0683760683760684,63,N/A
64,0.6024,3.2000000000000005e-05,1.0854700854700854,64,N/A
65,0.4838,3.2500000000000004e-05,1.1025641025641026,65,N/A
66,0.2804,3.3e-05,1.1196581196581197,66,N/A
67,0.092,3.35e-05,1.1367521367521367,67,N/A
68,0.052,3.4000000000000007e-05,1.1538461538461537,68,N/A
69,0.0095,3.45e-05,1.170940170940171,69,N/A
70,0.6465,3.5e-05,1.188034188034188,70,N/A
71,0.023,3.55e-05,1.205128205128205,71,N/A
72,0.0145,3.6e-05,1.2222222222222223,72,N/A
73,0.011,3.65e-05,1.2393162393162394,73,N/A
74,0.0298,3.7e-05,1.2564102564102564,74,N/A
75,0.0383,3.7500000000000003e-05,1.2735042735042734,75,N/A
76,0.0032,3.8e-05,1.2905982905982907,76,N/A
77,0.0051,3.85e-05,1.3076923076923077,77,N/A
78,0.0107,3.9000000000000006e-05,1.3247863247863247,78,N/A
79,0.0058,3.9500000000000005e-05,1.341880341880342,79,N/A
80,0.0042,4e-05,1.358974358974359,80,N/A
N/A,N/A,N/A,N/A,N/A,0.9925373134328358
81,0.0142,4.05e-05,1.376068376068376,81,N/A
82,0.0026,4.1e-05,1.393162393162393,82,N/A
83,0.0103,4.15e-05,1.4102564102564101,83,N/A
84,0.0205,4.2e-05,1.4273504273504274,84,N/A
85,1.5871,4.25e-05,1.4444444444444444,85,N/A
86,0.0022,4.3e-05,1.4615384615384617,86,N/A
87,0.0016,4.35e-05,1.4786324786324787,87,N/A
88,0.0018,4.4000000000000006e-05,1.4957264957264957,88,N/A
89,0.0013,4.4500000000000004e-05,1.5128205128205128,89,N/A
90,0.001,4.5e-05,1.5299145299145298,90,N/A
91,1.8402,4.55e-05,1.547008547008547,91,N/A
92,0.004,4.600000000000001e-05,1.564102564102564,92,N/A
93,0.0014,4.6500000000000005e-05,1.5811965811965814,93,N/A
94,0.7785,4.7e-05,1.5982905982905984,94,N/A
95,0.0736,4.75e-05,1.6153846153846154,95,N/A
96,0.0241,4.8e-05,1.6324786324786325,96,N/A
97,0.0012,4.85e-05,1.6495726495726495,97,N/A
98,0.0017,4.9e-05,1.6666666666666665,98,N/A
99,0.0021,4.9500000000000004e-05,1.6837606837606838,99,N/A
100,1.3538,5e-05,1.7008547008547008,100,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716
101,0.0027,5.05e-05,1.717948717948718,101,N/A
102,0.0017,5.1000000000000006e-05,1.735042735042735,102,N/A
103,0.0086,5.1500000000000005e-05,1.7521367521367521,103,N/A
104,0.0012,5.2000000000000004e-05,1.7692307692307692,104,N/A
105,0.0008,5.25e-05,1.7863247863247862,105,N/A
106,0.0031,5.300000000000001e-05,1.8034188034188035,106,N/A
107,1.714,5.3500000000000006e-05,1.8205128205128205,107,N/A
108,0.0056,5.4000000000000005e-05,1.8376068376068377,108,N/A
109,0.001,5.45e-05,1.8547008547008548,109,N/A
110,0.0041,5.500000000000001e-05,1.8717948717948718,110,N/A
111,0.017,5.550000000000001e-05,1.8888888888888888,111,N/A
112,0.0063,5.6000000000000006e-05,1.9059829059829059,112,N/A
113,0.0016,5.65e-05,1.9230769230769231,113,N/A
114,0.0016,5.6999999999999996e-05,1.9401709401709402,114,N/A
115,0.0027,5.7499999999999995e-05,1.9572649572649574,115,N/A
116,0.0009,5.8e-05,1.9743589743589745,116,N/A
117,0.0065,5.85e-05,1.9914529914529915,117,N/A
118,0.0012,5.9e-05,2.0,118,N/A
119,0.0007,5.95e-05,2.017094017094017,119,N/A
120,0.0009,6e-05,2.034188034188034,120,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716
121,0.0005,6.05e-05,2.051282051282051,121,N/A
122,0.0015,6.1e-05,2.0683760683760686,122,N/A
123,0.0017,6.15e-05,2.0854700854700856,123,N/A
124,0.0012,6.2e-05,2.1025641025641026,124,N/A
125,0.0008,6.25e-05,2.1196581196581197,125,N/A
126,0.0011,6.3e-05,2.1367521367521367,126,N/A
127,0.0007,6.35e-05,2.1538461538461537,127,N/A
128,0.0007,6.400000000000001e-05,2.1709401709401708,128,N/A
129,1.1994,6.450000000000001e-05,2.1880341880341883,129,N/A
130,0.0009,6.500000000000001e-05,2.2051282051282053,130,N/A
131,0.0005,6.55e-05,2.2222222222222223,131,N/A
132,0.006,6.6e-05,2.2393162393162394,132,N/A
133,0.0018,6.65e-05,2.2564102564102564,133,N/A
134,0.0065,6.7e-05,2.2735042735042734,134,N/A
135,0.0012,6.750000000000001e-05,2.2905982905982905,135,N/A
136,0.0004,6.800000000000001e-05,2.3076923076923075,136,N/A
137,0.0007,6.850000000000001e-05,2.324786324786325,137,N/A
138,0.0008,6.9e-05,2.341880341880342,138,N/A
139,0.0005,6.95e-05,2.358974358974359,139,N/A
140,0.0027,7e-05,2.376068376068376,140,N/A
N/A,N/A,N/A,N/A,N/A,0.9776119402985075
141,0.0005,7.05e-05,2.393162393162393,141,N/A
142,0.0006,7.1e-05,2.41025641025641,142,N/A
143,0.218,7.15e-05,2.427350427350427,143,N/A
144,0.0025,7.2e-05,2.4444444444444446,144,N/A
145,0.0007,7.25e-05,2.4615384615384617,145,N/A
146,0.0005,7.3e-05,2.4786324786324787,146,N/A
147,0.0014,7.35e-05,2.4957264957264957,147,N/A
148,0.0003,7.4e-05,2.5128205128205128,148,N/A
149,0.0029,7.450000000000001e-05,2.52991452991453,149,N/A
150,0.0003,7.500000000000001e-05,2.547008547008547,150,N/A
151,0.0038,7.55e-05,2.564102564102564,151,N/A
152,0.0003,7.6e-05,2.5811965811965814,152,N/A
153,0.0006,7.65e-05,2.5982905982905984,153,N/A
154,0.0005,7.7e-05,2.6153846153846154,154,N/A
155,0.0003,7.75e-05,2.6324786324786325,155,N/A
156,0.0013,7.800000000000001e-05,2.6495726495726495,156,N/A
157,0.0004,7.850000000000001e-05,2.6666666666666665,157,N/A
158,0.0006,7.900000000000001e-05,2.683760683760684,158,N/A
159,0.0004,7.950000000000001e-05,2.700854700854701,159,N/A
160,0.0005,8e-05,2.717948717948718,160,N/A
N/A,N/A,N/A,N/A,N/A,0.9925373134328358
161,0.048,8.05e-05,2.735042735042735,161,N/A
162,0.5569,8.1e-05,2.752136752136752,162,N/A
163,0.0004,8.15e-05,2.769230769230769,163,N/A
164,0.0005,8.2e-05,2.786324786324786,164,N/A
165,0.0003,8.25e-05,2.8034188034188032,165,N/A
166,0.0002,8.3e-05,2.8205128205128203,166,N/A
167,0.0007,8.35e-05,2.8376068376068377,167,N/A
168,0.0003,8.4e-05,2.8547008547008548,168,N/A
169,0.0004,8.450000000000001e-05,2.871794871794872,169,N/A
170,0.0117,8.5e-05,2.888888888888889,170,N/A
171,0.0016,8.55e-05,2.905982905982906,171,N/A
172,0.0004,8.6e-05,2.9230769230769234,172,N/A
173,0.0003,8.65e-05,2.9401709401709404,173,N/A
174,0.0006,8.7e-05,2.9572649572649574,174,N/A
175,0.0121,8.75e-05,2.9743589743589745,175,N/A
176,0.0011,8.800000000000001e-05,2.9914529914529915,176,N/A
177,0.0002,8.850000000000001e-05,3.0,177,N/A
178,0.0007,8.900000000000001e-05,3.017094017094017,178,N/A
179,0.001,8.950000000000001e-05,3.034188034188034,179,N/A
180,0.0007,9e-05,3.051282051282051,180,N/A
N/A,N/A,N/A,N/A,N/A,0.9701492537313433
181,0.0556,9.05e-05,3.0683760683760686,181,N/A
182,0.001,9.1e-05,3.0854700854700856,182,N/A
183,0.0021,9.15e-05,3.1025641025641026,183,N/A
184,0.0007,9.200000000000001e-05,3.1196581196581197,184,N/A
185,0.0005,9.250000000000001e-05,3.1367521367521367,185,N/A
186,0.0003,9.300000000000001e-05,3.1538461538461537,186,N/A
187,0.0012,9.350000000000001e-05,3.1709401709401708,187,N/A
188,0.0021,9.4e-05,3.1880341880341883,188,N/A
189,0.0011,9.449999999999999e-05,3.2051282051282053,189,N/A
190,0.0004,9.5e-05,3.2222222222222223,190,N/A
191,0.0005,9.55e-05,3.2393162393162394,191,N/A
192,0.0003,9.6e-05,3.2564102564102564,192,N/A
193,0.0003,9.65e-05,3.2735042735042734,193,N/A
194,0.0003,9.7e-05,3.2905982905982905,194,N/A
195,0.002,9.75e-05,3.3076923076923075,195,N/A
196,0.0003,9.8e-05,3.324786324786325,196,N/A
197,0.0004,9.850000000000001e-05,3.341880341880342,197,N/A
198,0.0006,9.900000000000001e-05,3.358974358974359,198,N/A
199,0.6823,9.95e-05,3.376068376068376,199,N/A
200,1.7085,0.0001,3.393162393162393,200,N/A
N/A,N/A,N/A,N/A,N/A,0.9925373134328358
201,0.0003,9.687500000000001e-05,3.41025641025641,201,N/A
202,0.0002,9.375e-05,3.427350427350427,202,N/A
203,0.0002,9.062500000000001e-05,3.4444444444444446,203,N/A
204,0.0002,8.75e-05,3.4615384615384617,204,N/A
205,0.0004,8.4375e-05,3.4786324786324787,205,N/A
206,0.0008,8.125000000000001e-05,3.4957264957264957,206,N/A
207,0.0004,7.8125e-05,3.5128205128205128,207,N/A
208,0.0003,7.500000000000001e-05,3.52991452991453,208,N/A
209,0.001,7.1875e-05,3.547008547008547,209,N/A
210,0.0004,6.875e-05,3.564102564102564,210,N/A
211,0.0003,6.562500000000001e-05,3.5811965811965814,211,N/A
212,0.0003,6.25e-05,3.5982905982905984,212,N/A
213,0.0004,5.9375e-05,3.6153846153846154,213,N/A
214,1.3373,5.6250000000000005e-05,3.6324786324786325,214,N/A
215,0.0003,5.3125000000000004e-05,3.6495726495726495,215,N/A
216,0.0002,5e-05,3.6666666666666665,216,N/A
217,0.0002,4.6875e-05,3.683760683760684,217,N/A
218,0.0003,4.375e-05,3.700854700854701,218,N/A
219,0.0002,4.0625000000000005e-05,3.717948717948718,219,N/A
220,0.0048,3.7500000000000003e-05,3.735042735042735,220,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716
221,0.0003,3.4375e-05,3.752136752136752,221,N/A
222,0.0158,3.125e-05,3.769230769230769,222,N/A
223,0.0006,2.8125000000000003e-05,3.786324786324786,223,N/A
224,0.0003,2.5e-05,3.8034188034188032,224,N/A
225,0.0002,2.1875e-05,3.8205128205128203,225,N/A
226,0.0008,1.8750000000000002e-05,3.8376068376068377,226,N/A
227,0.0003,1.5625e-05,3.8547008547008548,227,N/A
228,0.0009,1.25e-05,3.871794871794872,228,N/A
229,0.0002,9.375000000000001e-06,3.888888888888889,229,N/A
230,0.0295,6.25e-06,3.905982905982906,230,N/A
231,0.0003,3.125e-06,3.9230769230769234,231,N/A
232,0.0004,0.0,3.9401709401709404,232,N/A
N/A,N/A,N/A,N/A,N/A,0.9962546816479401
N/A,N/A,N/A,N/A,N/A,1.0
